Source	Source primary accession	Source secondary accession	Target	Target primary accession	Target secondary accession
snOPYdb	Caenorhabditis_elegans300119	ZK994.7	sequence	LN809559	
snOPYdb	Caenorhabditis_elegans300120	C27H6.5	sequence	LN809487	
snOPYdb	Caenorhabditis_elegans300121	K07C5.10	sequence	LN809519	
snOPYdb	Caenorhabditis_elegans300122	K07C5.12	sequence	LN809521	
snOPYdb	Caenorhabditis_elegans300123	K07C5.11	sequence	LN809520	
snOPYdb	Caenorhabditis_elegans300124	D1054.17	sequence	LN809497	
snOPYdb	Caenorhabditis_elegans300126	F17C11.14	sequence	LN809501	
snOPYdb	Caenorhabditis_elegans300127	F55A11.10	sequence	LN809511	
snOPYdb	Caenorhabditis_elegans300128	C51F7.3	sequence	LN809492	
snOPYdb	Caenorhabditis_elegans300129	W04D2.7	sequence	LN809541	
snOPYdb	Caenorhabditis_elegans300130	C14C10.8	sequence	LN809481	
snOPYdb	Caenorhabditis_elegans300131	W08G11.6	sequence	LN809543	
snOPYdb	Caenorhabditis_elegans300132	Y43F8C.22	sequence	LN809549	
snOPYdb	Caenorhabditis_elegans300133	CeSSU-970	sequence	LN809495	
snOPYdb	Danio_rerio300000	SNORD60	sequence	LT800692	
snOPYdb	Danio_rerio300001	SNORD60	sequence	LT800693	
snOPYdb	Danio_rerio300006	SNORD31	sequence	LT800694	
snOPYdb	Danio_rerio300011	SNORD30	sequence	LT800695	
snOPYdb	Danio_rerio300012	SNORD22	sequence	LT800696	
snOPYdb	Danio_rerio300013	SNORD31	sequence	LT800697	
snOPYdb	Danio_rerio300020	U3	sequence	LT800698	
snOPYdb	Danio_rerio300021	U3	sequence	LT800699	
snOPYdb	Danio_rerio300022	U3	sequence	LT800700	
snOPYdb	Danio_rerio300023	U3	sequence	LT800701	
snOPYdb	Danio_rerio300024	U3	sequence	LT800702	
snOPYdb	Danio_rerio300025	U3	sequence	LT800703	
snOPYdb	Danio_rerio300026	U3	sequence	LT800704	
snOPYdb	Danio_rerio300027	U3	sequence	LT800705	
snOPYdb	Danio_rerio300028	U3	sequence	LT800706	
snOPYdb	Danio_rerio300029	SNORD49	sequence	LT800707	
snOPYdb	Danio_rerio300030	SNORD49	sequence	LT800708	
snOPYdb	Danio_rerio300031	snoR38	sequence	LT800709	
snOPYdb	Danio_rerio300032	SNORD12	sequence	LT800710	
snOPYdb	Danio_rerio300033	SNORD12	sequence	LT800711	
snOPYdb	Danio_rerio300034	SNORD12	sequence	LT800712	
snOPYdb	Danio_rerio300035	SNORD12	sequence	LT800713	
snOPYdb	Danio_rerio300036	U3	sequence	LT800714	
snOPYdb	Danio_rerio300037	U3	sequence	LT800715	
snOPYdb	Danio_rerio300038	U3	sequence	LT800716	
snOPYdb	Danio_rerio300039	U3	sequence	LT800717	
snOPYdb	Danio_rerio300042	SNORA3	sequence	LT800718	
snOPYdb	Danio_rerio300043	SNORA3	sequence	LT800719	
snOPYdb	Danio_rerio300044	SNORA3	sequence	LT800720	
snOPYdb	Danio_rerio300045	SNORA3	sequence	LT800721	
snOPYdb	Danio_rerio300046	SNORD99	sequence	LT800722	
snOPYdb	Danio_rerio300047	U3	sequence	LT800723	
snOPYdb	Danio_rerio300048	U3	sequence	LT800724	
snOPYdb	Danio_rerio300049	U3	sequence	LT800725	
snOPYdb	Danio_rerio300051	U3	sequence	LT800726	
snOPYdb	Danio_rerio300052	U3	sequence	LT800727	
snOPYdb	Danio_rerio300053	U3	sequence	LT800728	
snOPYdb	Danio_rerio300054	U3	sequence	LT800729	
snOPYdb	Danio_rerio300055	U3	sequence	LT800730	
snOPYdb	Danio_rerio300057	snoZ40	sequence	LT800731	
snOPYdb	Danio_rerio300059	SNORA57	sequence	LT800732	
snOPYdb	Danio_rerio300061	SNORD88	sequence	LT800733	
snOPYdb	Danio_rerio300062	SNORA30	sequence	LT800734	
snOPYdb	Danio_rerio300063	SNORA30	sequence	LT800735	
snOPYdb	Danio_rerio300064	SNORA30	sequence	LT800736	
snOPYdb	Danio_rerio300065	SNORA30	sequence	LT800737	
snOPYdb	Danio_rerio300066	U3	sequence	LT800738	
snOPYdb	Danio_rerio300068	U3	sequence	LT800739	
snOPYdb	Danio_rerio300069	U3	sequence	LT800740	
snOPYdb	Danio_rerio300070	U3	sequence	LT800741	
snOPYdb	Danio_rerio300071	U3	sequence	LT800742	
snOPYdb	Danio_rerio300072	U3	sequence	LT800743	
snOPYdb	Danio_rerio300073	U3	sequence	LT800744	
snOPYdb	Danio_rerio300075	U8	sequence	LT800745	
snOPYdb	Danio_rerio300076	U8	sequence	LT800746	
snOPYdb	Danio_rerio300078	U8	sequence	LT800747	
snOPYdb	Danio_rerio300080	U8	sequence	LT800748	
snOPYdb	Danio_rerio300082	U8	sequence	LT800749	
snOPYdb	Danio_rerio300085	SNORD47	sequence	LT800750	
snOPYdb	Danio_rerio300086	SNORD47	sequence	LT800751	
snOPYdb	Danio_rerio300087	SNORD77	sequence	LT800752	
snOPYdb	Danio_rerio300088	SNORD77	sequence	LT800753	
snOPYdb	Danio_rerio300090	SNORD75	sequence	LT800754	
snOPYdb	Danio_rerio300091	SNORD75	sequence	LT800755	
